Day;CountryISO;City;Article;Amount
11/04/2005;AUS;Canberra;2;250.0
10/09/2005;AUS;Canberra;3;1450.0
11/14/2005;AUS;Canberra;4;2450.0
10/13/2005;AUS;Canberra;2;250.0
11/02/2005;AUS;Canberra;3;1450.0
03/09/2005;AUS;Canberra;2;250.0
04/09/2005;AUS;Canberra;2;250.0
02/12/2005;AUS;Canberra;2;250.0
01/11/2005;AUS;Canberra;2;250.0
02/13/2006;AUS;Canberra;2;250.0
04/05/2006;AUS;Canberra;3;1450.0
04/15/2006;AUS;Canberra;4;2450.0
10/07/2006;AUS;Canberra;2;250.0
08/15/2006;AUS;Canberra;3;1450.0
11/07/2006;AUS;Canberra;2;250.0
04/01/2006;AUS;Canberra;2;250.0
02/05/2006;AUS;Canberra;2;250.0
10/04/2006;AUS;Canberra;2;250.0
11/14/2006;AUS;Canberra;2;250.0
10/01/2006;AUS;Canberra;2;250.0
12/15/2007;AUS;Canberra;2;250.0
08/14/2007;AUS;Canberra;3;1450.0
12/03/2007;AUS;Canberra;4;2450.0
05/13/2007;AUS;Canberra;2;250.0
10/11/2007;AUS;Canberra;3;1450.0
11/07/2007;AUS;Canberra;2;250.0
12/06/2007;AUS;Canberra;3;1450.0
09/11/2007;AUS;Canberra;2;250.0
05/09/2008;AUS;Canberra;2;250.0
03/15/2008;AUS;Canberra;3;1450.0
05/01/2008;AUS;Canberra;4;2450.0
08/03/2008;AUS;Canberra;2;250.0
01/08/2008;AUS;Canberra;3;1450.0
03/01/2008;AUS;Canberra;4;2450.0
12/03/2009;AUS;Canberra;2;250.0
08/05/2009;AUS;Canberra;3;1450.0
01/11/2009;AUS;Canberra;4;2450.0
01/14/2009;AUS;Canberra;2;250.0
08/14/2009;AUS;Canberra;3;1450.0
03/10/2009;AUS;Canberra;4;2450.0
07/12/2010;AUS;Canberra;2;250.0
11/06/2010;AUS;Canberra;3;1450.0
07/01/2010;AUS;Canberra;4;2450.0
01/07/2010;AUS;Canberra;2;250.0
02/01/2010;AUS;Canberra;3;1450.0
11/09/2010;AUS;Canberra;4;2450.0
07/13/2010;AUS;Canberra;2;250.0
08/11/2010;AUS;Canberra;2;250.0
03/11/2005;PAK;Islamabad;2;250.0
08/03/2005;PAK;Islamabad;3;1450.0
08/08/2005;PAK;Islamabad;2;250.0
09/05/2005;PAK;Islamabad;3;1450.0
12/13/2006;PAK;Islamabad;2;250.0
02/13/2006;PAK;Islamabad;3;1450.0
07/09/2006;PAK;Islamabad;2;250.0
02/01/2006;PAK;Islamabad;3;1450.0
07/08/2006;PAK;Islamabad;2;250.0
12/12/2007;PAK;Islamabad;2;250.0
08/06/2007;PAK;Islamabad;3;1450.0
09/08/2007;PAK;Islamabad;2;250.0
08/09/2007;PAK;Islamabad;3;1450.0
09/10/2007;PAK;Islamabad;2;250.0
07/12/2007;PAK;Islamabad;2;250.0
12/01/2008;PAK;Islamabad;2;250.0
11/02/2008;PAK;Islamabad;3;1450.0
10/06/2008;PAK;Islamabad;4;2450.0
11/13/2009;PAK;Islamabad;2;250.0
10/10/2009;PAK;Islamabad;3;1450.0
03/02/2009;PAK;Islamabad;4;2450.0
11/06/2010;PAK;Islamabad;2;250.0
03/02/2010;PAK;Islamabad;3;1450.0
02/09/2010;PAK;Islamabad;4;2450.0
03/09/2010;PAK;Islamabad;2;250.0
01/03/2005;ZAF;Pretoria;2;250.0
02/15/2005;ZAF;Pretoria;3;1450.0
11/01/2005;ZAF;Pretoria;2;250.0
03/02/2005;ZAF;Pretoria;3;1450.0
12/13/2005;ZAF;Pretoria;2;250.0
09/01/2005;ZAF;Pretoria;2;250.0
07/15/2006;ZAF;Pretoria;2;250.0
04/15/2006;ZAF;Pretoria;3;1450.0
09/14/2006;ZAF;Pretoria;4;2450.0
04/09/2006;ZAF;Pretoria;2;250.0
08/14/2007;ZAF;Pretoria;2;250.0
09/13/2007;ZAF;Pretoria;3;1450.0
08/05/2007;ZAF;Pretoria;4;2450.0
10/13/2007;ZAF;Pretoria;2;250.0
11/13/2007;ZAF;Pretoria;2;250.0
05/02/2008;ZAF;Pretoria;2;250.0
07/05/2008;ZAF;Pretoria;3;1450.0
05/08/2008;ZAF;Pretoria;4;2450.0
01/13/2008;ZAF;Pretoria;2;250.0
05/10/2008;ZAF;Pretoria;2;250.0
09/05/2008;ZAF;Pretoria;2;250.0
03/02/2009;ZAF;Pretoria;2;250.0
12/08/2009;ZAF;Pretoria;3;1450.0
12/11/2009;ZAF;Pretoria;4;2450.0
07/14/2009;ZAF;Pretoria;2;250.0
05/10/2009;ZAF;Pretoria;2;250.0
08/04/2009;ZAF;Pretoria;2;250.0
04/05/2010;ZAF;Pretoria;2;250.0
09/08/2010;ZAF;Pretoria;3;1450.0
